id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,42,DJ Snake,0.476,0.718,0.0576,0.0784,0.0000102,0.122,0.142,dance pop
1xznGGDReH1oQq0xzbwXa3,One Dance,43,Drake,0.791,0.619,0.0532,0.00784,0.00423,0.351,0.371,canadian hip hop
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,81,Sam Hunt,0.731,0.469,0.0326,0.463,0.00000104,0.103,0.631,contemporary country
4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),74,Adele,0.69,0.524,0.103,0.0415,0.00000316,0.17,0.562,pop
3AJwUDP919kvQ9QcozQPxg,Yellow,82,Coldplay,0.429,0.661,0.0281,0.00239,0.00013,0.234,0.285,permanent wave
7dZ1Odmx9jWIweQSatnRqo,Million Reasons,82,Lady Gaga,0.665,0.424,0.0444,0.437,0,0.107,0.134,dance pop
2sLS4tVaEoMYrNS67PVz0V,She Will Be Loved - Acoustic,74,Maroon 5,0.614,0.509,0.0315,0.504,0.00000731,0.696,0.593,pop
0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,71,Keane,0.447,0.662,0.0259,0.0597,0.00000288,0.0869,0.307,neo mellow
0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,25,Little Mix,0.774,0.739,0.0952,0.0316,0.00000595,0.119,0.823,dance pop
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),87,Bebe Rexha,0.643,0.783,0.0856,0.047,0,0.083,0.579,dance pop
2VFf8YhTnmhWF108o9UEr7,No One - Acoustic,71,Alicia Keys,0.379,0.325,0.0331,0.712,0,0.0997,0.433,hip pop
2Gl0FzuLxflY6nPifJp5Dr,First Time,78,Kygo,0.633,0.592,0.112,0.197,0,0.099,0.679,edm
4bgCdwNpbU3sCJ3mupBW8S,I Don't Want to Be - Stripped Version,71,Gavin DeGraw,0.545,0.582,0.0368,0.142,0,0.144,0.536,acoustic pop
2WZyfujzMweFLnozyUJBkW,Boston,69,Augustana,0.404,0.571,0.0303,0.182,0.0000208,0.129,0.29,acoustic pop
0vg4WnUWvze6pBOJDTq99k,You're Beautiful,78,James Blunt,0.675,0.479,0.0278,0.633,0.0000176,0.088,0.454,neo mellow
2jppsxdHlNHz9eK0QyYlTq,If I Were a Boy,68,Beyoncé,0.632,0.518,0.0313,0.107,0,0.354,0.427,dance pop
6t9smWoGTgUF2LVSQuJK5P,A Thousand Miles (Live Acoustic),24,Vanessa Carlton,0.44,0.236,0.0279,0.88,0.0000309,0.108,0.329,dance pop
3ZffCQKLFLUvYM59XKLbVm,Wake Me Up When September Ends,78,Green Day,0.546,0.814,0.0314,0.023,0,0.0972,0.146,permanent wave
3gvAGvbMCRvVDDp8ZaIPV5,Lost in My Mind,54,The Head and the Heart,0.375,0.546,0.0294,0.451,0.000312,0.278,0.37,chamber pop
78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,81,Rihanna,0.576,0.267,0.044,0.878,0,0.119,0.326,dance pop
1ivuWgxFQb2xzxVNSlB1hF,DJ Turn It Up,74,Yellow Claw,0.829,0.695,0.0473,0.000956,0.178,0.112,0.369,bass trap
65ES1qwOB577ZnTkizMXJJ,HUMBLE. - SKRILLEX REMIX,77,Skrillex,0.898,0.935,0.291,0.00778,0.0000363,0.217,0.884,brostep
2gZUPNdnz5Y45eiGxpHGSc,POWER,79,Kanye West,0.543,0.915,0.113,0.0162,0,0.744,0.577,pop rap
2xKTOaIAh0IJ92jXP4BX1P,I Ain't Done,66,Andy Mineo,0.762,0.533,0.0677,0.0074,0.00173,0.186,0.416,christian hip hop
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),94,Tyga,0.884,0.559,0.12,0.0236,0,0.101,0.342,hip hop
4EAV2cKiqKP5UPZmY6dejk,Everyday,81,Logic,0.67,0.752,0.0374,0.041,0,0.0749,0.442,conscious hip hop
