id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre,
0ho4ac5tM9CNcmeIElhadF,Hit 'Em up Style (Oops!),58,Blu Cantrell,0.6980,0.722,0.0799,0.173,0,0.289,0.67,hip pop,
09mkdGhqb5ySKVsnkx9hy2,Bootylicious,58,Destiny's Child,0.8350,0.833,0.284,0.00247,0,0.171,0.586,dance pop,
2AMDKSt4HJWZbuLupJuNrj,Valió la Pena - Salsa Version,58,Marc Anthony,0.5210,0.704,0.0513,0.332,0.0000071,0.0665,0.846,latin,
2twuWVm42q3E4okRqfv8U1,Nowo,58,DJ Spinall,0.7930,0.721,0.0905,0.237,0.00000294,0.134,0.519,afrobeats,
6cTLhp8a39TClL2iqGpPVc,Ojuelegba,58,WizKid,0.6440,0.748,0.0349,0.146,0.000346,0.203,0.901,afrobeats,
1YhRsh9PMKaDXXKoWUzqTQ,Time,58,Poppy Ackroyd,0.1860,0.0615,0.0398,0.992,0.86,0.101,0.068,bow pop,
22bk8cz4FrIpxR166zmXFk,Tokka,58,Agnes Obel,0.5680,0.181,0.0283,0.993,0.935,0.103,0.351,chamber pop,
6VVd4kRfzBsZqFbvEAjloh,All For You,58,Night Riots,0.4750,0.881,0.0573,0.0103,0.00000254,0.074,0.426,indie pop,
7ohqcy0MESjxurNED68okJ,63 Days,58,Atlas Genius,0.6770,0.686,0.0866,0.0122,0,0.162,0.763,indie pop,
5iHK8VI9XkJJdXQHCBXeM4,Will Do,58,TV On The Radio,0.5630,0.859,0.0426,0.0175,0.0101,0.0657,0.419,alternative dance,
4lRuRtvftdSSUA7hLP7zAr,I Found,58,Amber Run,0.2800,0.317,0.0468,0.877,0.00714,0.108,0.237,indie anthem-folk,
3e6s8Z4MRSNgvNhVvpuUiw,Ditmas,58,Mumford & Sons,0.5260,0.786,0.043,0.00457,0.00256,0.0862,0.598,folk-pop,
3rcnZD0l4NPyyQ9CecXfy9,Loving You,58,Promise Land,0.4870,0.846,0.0555,0.225,0.355,0.41,0.367,big room,
2xrBweGrrKfLIUD5dceWiB,Who We Are?,58,GATTÜSO,0.4790,0.919,0.153,0.116,0.000139,0.152,0.388,unknown,
4CoM21pk8SxQh4L7ijqhRu,I Like That,58,Janelle Monáe,0.4820,0.453,0.059,0.0323,0.00243,0.149,0.17,dance pop,
2mVFo8BJ6ZPh82QAOpCUbT,Be Legendary,58,Pop Evil,0.5470,0.944,0.0507,0.0000481,0.0451,0.195,0.364,alternative metal,
7aW3SM5qFJu0IYVOWrAvRQ,I Won't Run From It,58,Big Red Machine,0.6150,0.719,0.0325,0.702,0.097,0.148,0.678,art pop,
4fB5b3YLwzkVW6w13VpSJE,Echo Arms,58,Mr Twin Sister,0.7830,0.546,0.0413,0.0039,0.0919,0.206,0.581,art pop,
2wF5p2dfUbEiqAnCRVNwmK,Tenderness,58,Parquet Courts,0.7160,0.736,0.0363,0.165,0.000171,0.0746,0.945,alternative rock,
5B1KYVaGIsI7v7LZYbXWI8,Save This Heart,58,Molly Tuttle,0.5180,0.466,0.0322,0.168,0.0114,0.105,0.423,progressive bluegrass,
5DVKKqwLGjvK9ojz3zLjB7,There Will Be Time,58,Mumford & Sons,0.4810,0.703,0.0466,0.0137,0,0.0879,0.225,folk-pop,
1ulAlG3x3jWtCCK2SI4qyL,Lose Control (feat. Ciara & Fat Man Scoop),58,Missy Elliott,0.9010,0.812,0.107,0.0324,0.00906,0.0493,0.785,dance pop,
2CtCwQhY0ZLvr8L2l8Bo6e,Stand Up,58,Ludacris,0.7450,0.841,0.357,0.358,0,0.111,0.767,dance pop,
7ysmJhXFQtiBQlk6EZ6sks,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,58,Stanley Turrentine,0.5050,0.159,0.0336,0.946,0.0127,0.212,0.196,bebop,
4ymHy4hzJ09WxvvT7p0Azy,You Go To My Head,58,Art Pepper,0.5750,0.0935,0.0858,0.978,0.452,0.109,0.301,bebop,
7sw49gd22TmoSW3sMGuHbn,Thumka,58,Zack Knight,0.7780,0.801,0.0758,0.0284,0,0.327,0.62,desi,
3Oe3VdPn6rAueriQvFhCBA,Illegal Weapon,58,Garry Sandhu,0.8140,0.666,0.0635,0.488,0.0000423,0.108,0.714,bhangra,
0MuqFuh4MerIiFsYWuEFaP,Do You There (feat. Marc E. Bassy),58,Skizzy Mars,0.5230,0.842,0.165,0.0191,0,0.139,0.443,indie pop rap,
4nMdQX2N9sp3bYDnrQmUry,Space (feat. Sexton),58,TK Kravitz,0.9100,0.563,0.143,0.152,0,0.149,0.598,deep pop r&b,
5P17i7UAedeVnWzOAX2XWi,Honey - Single Edit,58,Robyn,0.6100,0.621,0.0779,0.0216,0.000176,0.119,0.0824,dance pop,
1Z2MfAx1nJ09NzGjodnvRW,Screwed (feat. Zoë Kravitz),58,Janelle Monáe,0.7300,0.681,0.0405,0.0441,0.000245,0.27,0.446,dance pop,
0gcbRbAXm1T1labe7eeBFX,Lost Souls,58,H.E.R.,0.6970,0.794,0.343,0.142,0,0.109,0.823,indie r&b,
5JmJVj3qLsCnBsQ8IC9XLf,Lazy Afternoon,58,Rebelution,0.7750,0.678,0.0351,0.0112,0.0105,0.125,0.93,reggae rock,
7LsAld1wdZSVk7gvtY1S94,The Old Me,58,Memphis May Fire,0.4330,0.989,0.241,0.0000463,0.0000251,0.623,0.508,melodic metalcore,
4mcDGYrrPukWNhO44w4EUr,Cutthroat,58,blessthefall,0.4850,0.989,0.171,0.000712,0.0485,0.323,0.192,melodic metalcore,
6nz35DNIzbtj5ztpDEcW1j,Kick  Push,58,Lupe Fiasco,0.6520,0.809,0.17,0.164,0,0.175,0.512,conscious hip hop,
2qEqMx1n0dnCBzWT9l3nGL,Real Love Baby,58,Father John Misty,0.4270,0.684,0.0353,0.0956,0.0196,0.12,0.606,art pop,
6bMrfP9V5s5fgL3Z02tcES,Bitter With The Sweet,58,Carole King,0.6910,0.43,0.0576,0.807,0.000508,0.115,0.69,adult standards,
